#     FILENAME=Skynet_61090_GLONG_18_145853_96183.A.spect.cal.txt
#     BASENAME=Skynet_61090_GLONG_18_145853_96183
#      CONTROL=SKYNET
#     PROJCODE=Skynet_61090_GLONG_18_145853
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_61090_GLONG_18_145853/Cy
#     SCANNAME=2026_02_12_19
#     SRC_NAME=GLONG_18
#     OBSERVER=delima6_74447
#     DATE_OBS=2026-02-19T10:26:58.000
#        OBSID=145853
#      SCANNUM=96183
#          MJD=61090.4353935
#          UTC=37618
#     SCANTYPE=track
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1421.8850,
# Actual_FREQ2=1406.2600
#    LO1Tuning=6856.2600
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.2684
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=40.00
#     EXPOSURE=31.14
#        FOCUS=37.071
#       RA,DEC=18:23:53.31, -13:15:25.73
#      RA(deg)=275.93017
#     DEC(deg)=-13.25735
#   WIDTH(deg)=0.0847x0.0023
#    AZIM(deg)=126.8728
#    ELEV(deg)=20.2508
#     COORDREF=LNG_LAT
#         HREF=18.0000
#         VREF=0.0000
#      RADESYS=FK5
#       OFFSYS=AZEL
#      EQUINOX=2000.00
#     IFATTENS=6.00, 0.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[1.32, 0.39] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=36 
#      BOXTEMP=6 
#         TSYS=XX1:64.99, YY1:89.94
#         TSYS=XX2:54.91, YY2:94.58
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.16, YY2:9.99
# Calibrated spectra 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1428.91930      30.8591      40.5636    1413.29430      27.0844      55.0291
   1428.90404      30.9972      40.6374    1413.27904      27.0639      55.2051
   1428.88878      31.2733      40.9437    1413.26378      27.1923      55.6745
   1428.87353      31.4215      41.0401    1413.24853      27.2814      55.6227
   1428.85827      31.4971      41.2337    1413.23327      27.3142      55.9329
   1428.84301      31.7209      41.4198    1413.21801      27.3909      56.1748
   1428.82775      31.8698      41.4839    1413.20275      27.4683      56.4966
   1428.81249      32.0590      41.7621    1413.18749      27.5936      56.7932
   1428.79723      32.2383      41.8829    1413.17223      27.6325      56.9907
   1428.78197      32.4291      42.1072    1413.15697      27.7939      57.2009
   1428.76671      32.6405      42.1239    1413.14171      27.9509      57.5806
   1428.75146      32.8390      42.4830    1413.12646      27.9571      57.8241
   1428.73620      32.9861      42.7338    1413.11120      28.1178      58.1629
   1428.72094      33.2129      42.7202    1413.09594      28.2046      58.2158
   1428.70568      33.4213      43.1987    1413.08068      28.2627      58.6953
   1428.69042      33.5019      43.1813    1413.06542      28.3032      58.9039
   1428.67516      33.6598      43.3521    1413.05016      28.4444      59.4163
   1428.65990      34.0043      43.6567    1413.03490      28.5612      59.7307
   1428.64464      34.1268      43.8431    1413.01964      28.6569      59.9622
   1428.62938      34.3935      43.9865    1413.00438      28.7900      60.2862
   1428.61413      34.6051      44.3642    1412.98913      28.9135      60.5235
   1428.59887      34.8000      44.5579    1412.97387      29.0531      60.9105
   1428.58361      35.0132      44.7244    1412.95861      29.1153      61.1362
   1428.56835      35.0795      44.9189    1412.94335      29.3307      61.4937
   1428.55309      35.4060      45.2229    1412.92809      29.3677      61.8589
   1428.53783      35.6519      45.4625    1412.91283      29.4909      62.2422
   1428.52257      35.8831      45.4730    1412.89757      29.5629      62.4079
   1428.50731      36.0793      45.8457    1412.88231      29.7290      62.9234
   1428.49206      36.1932      46.1122    1412.86706      29.8641      63.2555
   1428.47680      36.4487      46.3553    1412.85180      30.0431      63.5333
   1428.46154      36.7410      46.5490    1412.83654      30.2370      64.0976
   1428.44628      36.8945      46.7682    1412.82128      30.3076      64.3155
   1428.43102      37.1730      47.1581    1412.80602      30.4203      64.7024
   1428.41576      37.2653      47.3695    1412.79076      30.5832      64.9040
