#     FILENAME=Skynet_61090_GLONG-31_145782_96161.A.spect.cal.txt
#     BASENAME=Skynet_61090_GLONG-31_145782_96161
#      CONTROL=SKYNET
#     PROJCODE=Skynet_61090_GLONG-31_145782
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_61090_GLONG-31_145782/Cy
#     SCANNAME=2026_02_12_19
#     SRC_NAME=GLONG-31
#     OBSERVER=davy_ball_74442
#     DATE_OBS=2026-02-19T10:02:30.000
#        OBSID=145782
#      SCANNUM=96161
#          MJD=61090.4184028
#          UTC=36150
#     SCANTYPE=track
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1421.8850,
# Actual_FREQ2=1406.2600
#    LO1Tuning=6856.2600
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.2684
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=39.46
#     EXPOSURE=31.14
#        FOCUS=37.071
#       RA,DEC=18:48:05.12, -01:43:10.01
#      RA(deg)=281.98203
#     DEC(deg)=-1.71931
#   WIDTH(deg)=0.0825x0.0021
#    AZIM(deg)=109.0700
#    ELEV(deg)=20.2439
#     COORDREF=LNG_LAT
#         HREF=31.0000
#         VREF=0.0000
#      RADESYS=FK5
#       OFFSYS=AZEL
#      EQUINOX=2000.00
#     IFATTENS=7.00, 0.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[1.59, 0.57] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=44 
#      BOXTEMP=6 
#         TSYS=XX1:80.57, YY1:100.24
#         TSYS=XX2:68.40, YY2:105.98
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.16, YY2:9.99
# Calibrated spectra 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1428.91930      38.5547      44.7137    1413.29430      34.0237      61.7711
   1428.90404      38.7681      44.9569    1413.27904      34.1719      62.0575
   1428.88878      38.8771      45.0633    1413.26378      34.2138      62.4608
   1428.87353      39.2091      45.2693    1413.24853      34.2333      62.5790
   1428.85827      39.2883      45.4027    1413.23327      34.3402      62.6533
   1428.84301      39.5302      45.6138    1413.21801      34.3328      63.1640
   1428.82775      39.8026      45.8002    1413.20275      34.5213      63.5342
   1428.81249      39.9038      46.0042    1413.18749      34.7659      63.7060
   1428.79723      40.2390      46.1177    1413.17223      34.7742      63.8973
   1428.78197      40.4199      46.2931    1413.15697      34.9365      64.1840
   1428.76671      40.6984      46.5086    1413.14171      35.0116      64.6801
   1428.75146      40.9428      46.7219    1413.12646      35.2021      64.9145
   1428.73620      41.1536      47.0254    1413.11120      35.2514      65.2084
   1428.72094      41.2760      47.1086    1413.09594      35.4099      65.4275
   1428.70568      41.6223      47.4470    1413.08068      35.3715      65.8546
   1428.69042      41.8434      47.5380    1413.06542      35.5935      66.0441
   1428.67516      41.9883      47.7532    1413.05016      35.6918      66.4188
   1428.65990      42.1778      48.0757    1413.03490      35.8928      66.8511
   1428.64464      42.5947      48.2199    1413.01964      36.0810      67.2025
   1428.62938      42.8077      48.3894    1413.00438      36.2344      67.5699
   1428.61413      43.0828      48.8409    1412.98913      36.2982      67.9722
   1428.59887      43.2665      48.9664    1412.97387      36.3850      68.0078
   1428.58361      43.5990      49.1637    1412.95861      36.5680      68.6406
   1428.56835      43.7460      49.4416    1412.94335      36.6871      68.9316
   1428.55309      44.0583      49.6605    1412.92809      36.8777      69.1132
   1428.53783      44.2105      49.8551    1412.91283      36.9453      69.6938
   1428.52257      44.6291      50.0805    1412.89757      37.2471      70.1123
   1428.50731      44.8032      50.4341    1412.88231      37.4617      70.3658
   1428.49206      44.9784      50.6512    1412.86706      37.5357      71.0116
   1428.47680      45.2637      50.9302    1412.85180      37.6889      71.3746
   1428.46154      45.6356      51.2563    1412.83654      37.9141      71.7639
   1428.44628      45.8078      51.3214    1412.82128      38.0456      71.9003
   1428.43102      46.1420      51.6951    1412.80602      38.1440      72.3886
   1428.41576      46.3816      52.0012    1412.79076      38.4166      72.8365
   1428.40050      46.5229      52.3111    1412.77550      38.5227      73.2425
   1428.38524      46.8829      52.5008    1412.76024      38.7496      73.8011
   1428.36999      47.2253      52.6874    1412.74499      38.8900      74.1826
   1428.35473      47.3723      53.0040    1412.72973      39.2251      74.3980
   1428.33947      47.7068      53.3386    1412.71447      39.2806      75.1292
   1428.32421      47.8983      53.6050    1412.69921      39.4474      75.4432
   1428.30895      48.2998      53.8426    1412.68395      39.5987      75.9856
   1428.29369      48.4974      54.1520    1412.66869      39.7785      76.1872
   1428.27843      48.7988      54.3030    1412.65343      39.9813      76.6617
   1428.26317      49.0741      54.5777    1412.63817      40.1755      77.2989
   1428.24792      49.2520      54.9556    1412.62292      40.3052      77.7382
   1428.23266      49.5997      55.2844    1412.60766      40.5864      78.2391
   1428.21740      49.7953      55.4898    1412.59240      40.7052      78.3850
   1428.20214      50.0688      55.8237    1412.57714      40.9995      79.1406
   1428.18688      50.4543      56.0470    1412.56188      41.1455      79.2749
   1428.17162      50.5979      56.3550    1412.54662      41.3214      80.1900
   1428.15636      50.8456      56.6357    1412.53136      41.6041      80.3578
   1428.14110      51.0524      57.1152    1412.51610      41.6143      80.6427
   1428.12584      51.4651      57.2595    1412.50084      41.9090      81.4482
   1428.11059      51.6845      57.5250    1412.48559      42.1726      81.6061
   1428.09533      51.8667      57.8995    1412.47033      42.3036      82.0123
   1428.08007      52.1861      58.2606    1412.45507      42.6136      82.7140
   1428.06481      52.5011      58.5748    1412.43981      42.6718      83.2447
   1428.04955      52.6004      58.5491    1412.42455      42.9029      83.6612
   1428.03429      53.0055      59.0278    1412.40929      43.2309      84.0124
   1428.01903      53.2649      59.3246    1412.39403      43.4317      84.7630
   1428.00377      53.4523      59.4195    1412.37877      43.5088      84.9845
   1427.98852      53.6481      59.8465    1412.36352      43.8792      85.2088
   1427.97326      53.9053      60.1313    1412.34826      44.0002      85.7772
   1427.95800      54.1945      60.5381    1412.33300      44.2761      86.4094
   1427.94274      54.3161      60.7206    1412.31774      44.4124      86.8370
   1427.92748      54.6253      61.1077    1412.30248      44.6531      87.1874
   1427.91222      54.9819      61.5007    1412.28722      44.8466      87.4355
   1427.89696      55.3121      61.5762    1412.27196      45.1346      88.3673
   1427.88170      55.5326      61.9005    1412.25670      45.3107      88.7113
   1427.86645      55.8431      62.1979    1412.24145      45.5601      89.3416
   1427.85119      56.0931      62.3846    1412.22619      45.6563      89.5359
   1427.83593      56.3104      62.6978    1412.21093      46.0173      90.2104
   1427.82067      56.3351      62.9762    1412.19567      46.2177      90.4304
   1427.80541      56.5488      63.3633    1412.18041      46.2604      90.7968
   1427.79015      56.7217      63.5288    1412.16515      46.4198      91.3871
   1427.77489      57.2231      63.8142    1412.14989      46.8033      91.5677
   1427.75963      57.4393      64.1372    1412.13463      46.9129      92.4452
   1427.74437      57.3991      64.4423    1412.11937      47.2171      92.8324
   1427.72912      57.8747      64.8474    1412.10412      47.4153      93.3955
   1427.71386      57.9974      65.2065    1412.08886      47.4498      93.7234
   1427.69860      58.3784      65.1895    1412.07360      47.8773      93.7875
   1427.68334      58.5586      65.5687    1412.05834      48.0978      94.4229
   1427.66808      58.7468      65.9287    1412.04308      48.3368      94.8446
   1427.65282      58.8179      65.9821    1412.02782      48.5128      95.4473
   1427.63756      59.1344      66.3990    1412.01256      48.6204      95.7371
   1427.62230      59.2763      66.7666    1411.99730      48.9707      96.3495
   1427.60705      59.4077      66.9259    1411.98205      49.1463      96.7656
   1427.59179      59.8562      67.1602    1411.96679      49.2852      96.9928
   1427.57653      60.0589      67.3818    1411.95153      49.5384      97.6619
   1427.56127      60.1817      68.1114    1411.93627      49.8447      97.8375
   1427.54601      60.3363      68.0095    1411.92101      49.9831      98.6378
   1427.53075      60.5761      68.2776    1411.90575      50.1950      99.0430
   1427.51549      60.7675      68.8114    1411.89049      50.3845      99.4872
   1427.50023      61.0387      68.9098    1411.87523      50.7128      99.6181
   1427.48498      61.1700      69.0403    1411.85998      50.7900     100.0241
   1427.46972      61.3657      69.6309    1411.84472      50.9430     100.7170
   1427.45446      61.4494      69.6439    1411.82946      51.2004     101.1591
   1427.43920      61.7724      69.8489    1411.81420      51.4317     101.3555
   1427.42394      61.8220      70.1501    1411.79894      51.5104     101.8837
   1427.40868      62.1690      70.5207    1411.78368      51.8558     102.2610
   1427.39342      62.2014      70.7500    1411.76842      52.0621     102.9745
   1427.37816      62.4691      70.9273    1411.75316      52.3495     102.9369
   1427.36291      62.5861      71.3504    1411.73791      52.5131     103.4088
   1427.34765      62.5986      71.5026    1411.72265      52.7120     103.9625
   1427.33239      62.8854      71.7764    1411.70739      52.9950     104.1885
   1427.31713      62.9767      71.9500    1411.69213      53.1940     104.7240
   1427.30187      63.1134      72.2425    1411.67687      53.1651     104.8023
   1427.28661      63.2610      72.4646    1411.66161      53.2623     105.4466
   1427.27135      63.4426      72.8851    1411.64635      53.8403     105.7417
   1427.25609      63.6309      73.0131    1411.63109      53.8707     106.0705
   1427.24083      63.7707      73.2364    1411.61583      54.1917     106.2491
   1427.22558      63.9802      73.4272    1411.60058      54.2465     106.4283
   1427.21032      64.0888      73.7996    1411.58532      54.4776     106.8851
   1427.19506      64.1436      73.7915    1411.57006      54.6634     107.6424
   1427.17980      64.4219      74.3879    1411.55480      54.8608     107.7825
   1427.16454      64.4242      74.3271    1411.53954      55.0675     108.2866
   1427.14928      64.6640      74.5501    1411.52428      55.3790     108.3250
   1427.13402      64.5769      74.8993    1411.50902      55.6754     108.8870
   1427.11876      64.9243      75.1137    1411.49376      55.7369     109.0499
   1427.10351      65.0125      75.4181    1411.47851      55.7973     109.4692
