#     FILENAME=Skynet_61090_GLONG-37_145793_96152.A.spect.cal.txt
#     BASENAME=Skynet_61090_GLONG-37_145793_96152
#      CONTROL=SKYNET
#     PROJCODE=Skynet_61090_GLONG-37_145793
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_61090_GLONG-37_145793/Cy
#     SCANNAME=2026_02_12_19
#     SRC_NAME=GLONG-37
#     OBSERVER=davy_ball_74442
#     DATE_OBS=2026-02-19T09:53:48.000
#        OBSID=145793
#      SCANNUM=96152
#          MJD=61090.4123611
#          UTC=35628
#     SCANTYPE=track
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1421.8850,
# Actual_FREQ2=1406.2600
#    LO1Tuning=6856.2600
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.2684
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=35.70
#     EXPOSURE=29.26
#        FOCUS=37.049
#       RA,DEC=18:59:01.32, 03:37:11.75
#      RA(deg)=284.71604
#     DEC(deg)=3.61988
#   WIDTH(deg)=0.0120x0.0011
#    AZIM(deg)=101.3346
#    ELEV(deg)=20.0583
#     COORDREF=LNG_LAT
#         HREF=37.0000
#         VREF=0.0000
#      RADESYS=FK5
#       OFFSYS=AZEL
#      EQUINOX=2000.00
#     IFATTENS=5.00, 0.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[1.06, 0.41] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=44 
#      BOXTEMP=6 
#         TSYS=XX1:61.52, YY1:83.76
#         TSYS=XX2:52.05, YY2:87.79
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.16, YY2:9.99
# Calibrated spectra 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1428.91930      29.1609      37.4206    1413.29430      25.4452      50.7597
   1428.90404      29.2577      37.5552    1413.27904      25.5398      50.9961
   1428.88878      29.4703      37.6919    1413.26378      25.6894      51.1466
   1428.87353      29.5605      37.8231    1413.24853      25.6965      51.2907
   1428.85827      29.7387      38.0373    1413.23327      25.7666      51.6919
   1428.84301      29.8848      38.1645    1413.21801      25.8299      51.7749
   1428.82775      30.0777      38.3352    1413.20275      25.9654      51.9512
   1428.81249      30.3276      38.4533    1413.18749      26.0240      52.1943
   1428.79723      30.3703      38.5953    1413.17223      26.0550      52.5191
   1428.78197      30.6112      38.8285    1413.15697      26.1937      52.7891
   1428.76671      30.7620      38.8874    1413.14171      26.2916      52.9872
   1428.75146      30.9725      39.1674    1413.12646      26.3631      53.2765
   1428.73620      31.1219      39.3151    1413.11120      26.5365      53.4837
   1428.72094      31.2840      39.5317    1413.09594      26.5552      53.8221
   1428.70568      31.4737      39.6910    1413.08068      26.6678      54.0435
   1428.69042      31.6618      39.7694    1413.06542      26.7141      54.1888
   1428.67516      31.8126      40.0370    1413.05016      26.8597      54.6740
   1428.65990      31.9935      40.3049    1413.03490      26.9102      54.8999
   1428.64464      32.2292      40.5342    1413.01964      27.0522      55.2476
   1428.62938      32.4147      40.6028    1413.00438      27.1886      55.5155
   1428.61413      32.5674      40.8664    1412.98913      27.2878      55.9003
   1428.59887      32.8693      41.2117    1412.97387      27.3779      56.1222
   1428.58361      33.0365      41.2572    1412.95861      27.4930      56.3888
   1428.56835      33.1796      41.5547    1412.94335      27.6163      56.7533
   1428.55309      33.3147      41.6133    1412.92809      27.6658      56.9072
   1428.53783      33.5036      41.8688    1412.91283      27.7967      57.2707
   1428.52257      33.7366      42.1325    1412.89757      27.9292      57.7618
   1428.50731      33.8936      42.3217    1412.88231      28.0895      57.9270
   1428.49206      34.0927      42.5428    1412.86706      28.2841      58.3243
   1428.47680      34.4043      42.8810    1412.85180      28.3574      58.5576
   1428.46154      34.5577      43.0150    1412.83654      28.4642      58.9898
   1428.44628      34.7604      43.1635    1412.82128      28.6309      59.3267
   1428.43102      34.8566      43.4684    1412.80602      28.7365      59.6909
   1428.41576      35.1673      43.7031    1412.79076      28.8943      59.9911
