#     FILENAME=Skynet_61090_GLong_65_145780_96180.A.spect.cal.txt
#     BASENAME=Skynet_61090_GLong_65_145780_96180
#      CONTROL=SKYNET
#     PROJCODE=Skynet_61090_GLong_65_145780
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_61090_GLong_65_145780/Cy
#     SCANNAME=2026_02_12_19
#     SRC_NAME=GLong_65
#     OBSERVER=katerickels_69750
#     DATE_OBS=2026-02-19T10:23:02.000
#        OBSID=145780
#      SCANNUM=96180
#          MJD=61090.432662
#          UTC=37382
#     SCANTYPE=track
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1421.8850,
# Actual_FREQ2=1406.2600
#    LO1Tuning=6856.2600
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.2684
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=34.09
#     EXPOSURE=27.92
#        FOCUS=37.071
#       RA,DEC=19:55:24.11, 28:11:52.31
#      RA(deg)=298.80287
#     DEC(deg)=28.19791
#   WIDTH(deg)=0.0053x0.0012
#    AZIM(deg)=75.0830
#    ELEV(deg)=29.0845
#     COORDREF=LNG_LAT
#         HREF=65.0000
#         VREF=0.0000
#      RADESYS=FK5
#       OFFSYS=AZEL
#      EQUINOX=2000.00
#     IFATTENS=5.00, 0.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[0.81, 0.43] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=32 
#      BOXTEMP=6 
#         TSYS=XX1:46.65, YY1:74.02
#         TSYS=XX2:39.61, YY2:77.60
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.16, YY2:9.99
# Calibrated spectra 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1428.91930      22.2053      33.9076    1413.29430      18.9831      44.9729
   1428.90404      22.3781      33.9893    1413.27904      18.9848      45.3176
   1428.88878      22.5391      34.1501    1413.26378      19.0065      45.5334
   1428.87353      22.6758      34.2360    1413.24853      19.0823      45.6068
   1428.85827      22.7829      34.3929    1413.23327      19.1555      45.8859
   1428.84301      22.8947      34.4706    1413.21801      19.2296      45.9595
   1428.82775      22.9775      34.8009    1413.20275      19.2539      46.3113
   1428.81249      23.1529      34.8272    1413.18749      19.2330      46.5865
   1428.79723      23.3090      34.9146    1413.17223      19.3410      46.7328
   1428.78197      23.4215      35.1924    1413.15697      19.3961      46.9560
   1428.76671      23.6385      35.2794    1413.14171      19.5551      47.1793
   1428.75146      23.6914      35.4938    1413.12646      19.5041      47.5188
   1428.73620      23.8603      35.6647    1413.11120      19.6266      47.7816
   1428.72094      23.9707      35.8197    1413.09594      19.6797      48.0843
   1428.70568      24.0794      36.0052    1413.08068      19.7632      47.9336
   1428.69042      24.1968      36.1516    1413.06542      19.7957      48.3588
   1428.67516      24.4262      36.2967    1413.05016      19.9475      48.5870
   1428.65990      24.6195      36.4636    1413.03490      19.9373      48.8423
   1428.64464      24.7724      36.8009    1413.01964      20.1219      49.2852
   1428.62938      24.9114      36.8327    1413.00438      20.1223      49.4968
   1428.61413      25.0947      37.0378    1412.98913      20.2505      49.7304
   1428.59887      25.2174      37.2053    1412.97387      20.3630      50.0594
   1428.58361      25.3408      37.2901    1412.95861      20.4725      50.2400
   1428.56835      25.5096      37.5208    1412.94335      20.5837      50.6419
   1428.55309      25.7119      37.8221    1412.92809      20.5826      51.0125
   1428.53783      25.8616      37.8759    1412.91283      20.6011      51.1645
   1428.52257      26.1041      38.1056    1412.89757      20.7930      51.5043
   1428.50731      26.1702      38.3250    1412.88231      20.9123      51.7435
   1428.49206      26.3511      38.5592    1412.86706      20.9831      52.0417
   1428.47680      26.5512      38.6918    1412.85180      21.0743      52.3120
   1428.46154      26.6813      38.9305    1412.83654      21.1191      52.6335
   1428.44628      26.8204      39.1238    1412.82128      21.2446      53.0589
   1428.43102      27.0327      39.4753    1412.80602      21.2957      53.4029
   1428.41576      27.2148      39.6355    1412.79076      21.4824      53.6431
   1428.40050      27.3006      39.9311    1412.77550      21.5319      53.8805
   1428.38524      27.4551      40.0303    1412.76024      21.7215      54.1766
