#     FILENAME=Skynet_61090_GLONG_9_145844_96203.A.spect.cal.txt
#     BASENAME=Skynet_61090_GLONG_9_145844_96203
#      CONTROL=SKYNET
#     PROJCODE=Skynet_61090_GLONG_9_145844
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_61090_GLONG_9_145844/Cyb
#     SCANNAME=2026_02_12_19
#     SRC_NAME=GLONG_9
#     OBSERVER=delima6_74447
#     DATE_OBS=2026-02-19T10:53:20.000
#        OBSID=145844
#      SCANNUM=96203
#          MJD=61090.4537037
#          UTC=39200
#     SCANTYPE=track
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1421.8850,
# Actual_FREQ2=1406.2600
#    LO1Tuning=6856.2600
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.2684
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=35.43
#     EXPOSURE=28.99
#        FOCUS=37.049
#       RA,DEC=18:05:53.00, -21:09:46.62
#      RA(deg)=271.41850
#     DEC(deg)=-21.16316
#   WIDTH(deg)=0.0112x0.0009
#    AZIM(deg)=140.9595
#    ELEV(deg)=20.0121
#     COORDREF=LNG_LAT
#         HREF=9.0000
#         VREF=0.0000
#      RADESYS=FK5
#       OFFSYS=AZEL
#      EQUINOX=2000.00
#     IFATTENS=6.00, 0.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[1.5, 0.59] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=53 
#      BOXTEMP=6 
#         TSYS=XX1:78.13, YY1:96.52
#         TSYS=XX2:67.14, YY2:103.25
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.16, YY2:9.99
# Calibrated spectra 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1428.91930      37.9481      43.7336    1413.29430      33.2681      60.4831
   1428.90404      38.1146      43.9824    1413.27904      33.3369      60.6533
   1428.88878      38.2993      44.0730    1413.26378      33.5142      60.7911
   1428.87353      38.5569      44.3211    1413.24853      33.4977      60.9427
   1428.85827      38.7810      44.3570    1413.23327      33.6247      61.2313
   1428.84301      38.9656      44.4925    1413.21801      33.7128      61.5442
   1428.82775      39.2023      44.8958    1413.20275      33.8273      61.9504
   1428.81249      39.3838      44.9051    1413.18749      33.9330      62.2339
   1428.79723      39.5220      45.1700    1413.17223      34.1048      62.3177
   1428.78197      39.7572      45.4086    1413.15697      34.1748      62.7651
   1428.76671      40.0393      45.6094    1413.14171      34.2561      62.8962
   1428.75146      40.2923      45.8445    1413.12646      34.4268      63.3041
   1428.73620      40.4799      45.9811    1413.11120      34.4937      63.5264
   1428.72094      40.6988      46.2287    1413.09594      34.6856      63.8534
   1428.70568      40.9173      46.2859    1413.08068      34.7520      64.2562
   1428.69042      41.2777      46.5343    1413.06542      34.9226      64.5999
   1428.67516      41.3611      46.8278    1413.05016      35.0493      64.8991
   1428.65990      41.6428      46.9664    1413.03490      35.0847      65.0663
   1428.64464      41.8258      47.1622    1413.01964      35.3372      65.5474
   1428.62938      42.1870      47.5578    1413.00438      35.4824      65.8400
   1428.61413      42.4510      47.8769    1412.98913      35.6255      66.2905
   1428.59887      42.6271      47.8547    1412.97387      35.7138      66.5516
   1428.58361      42.8282      48.2025    1412.95861      35.8529      67.0081
   1428.56835      43.2026      48.2984    1412.94335      36.0638      67.3553
   1428.55309      43.3814      48.5508    1412.92809      36.1541      67.5175
   1428.53783      43.5781      48.8380    1412.91283      36.2947      68.4010
   1428.52257      43.8573      49.0583    1412.89757      36.6255      68.5069
   1428.50731      44.1210      49.4058    1412.88231      36.6186      68.7630
   1428.49206      44.2976      49.4710    1412.86706      36.8233      69.2069
   1428.47680      44.7626      49.8949    1412.85180      37.0447      69.5755
   1428.46154      44.8749      50.0239    1412.83654      37.1858      70.0475
   1428.44628      45.1876      50.1449    1412.82128      37.4407      70.4259
   1428.43102      45.4452      50.5147    1412.80602      37.6106      70.8137
   1428.41576      45.7428      50.9092    1412.79076      37.7653      71.2764
   1428.40050      45.9654      51.1807    1412.77550      37.8458      71.8301
   1428.38524      46.0904      51.3217    1412.76024      38.0228      72.1115
   1428.36999      46.5083      51.6201    1412.74499      38.2297      72.7619
   1428.35473      46.6465      51.8383    1412.72973      38.3801      73.0080
   1428.33947      47.0914      52.0777    1412.71447      38.6495      73.3936
   1428.32421      47.3431      52.3232    1412.69921      38.7221      73.8643
   1428.30895      47.5441      52.6194    1412.68395      38.8185      74.4755
   1428.29369      47.7402      52.8855    1412.66869      39.1546      74.6078
   1428.27843      48.1490      53.2124    1412.65343      39.2998      75.0423
   1428.26317      48.3980      53.4545    1412.63817      39.5004      75.5950
   1428.24792      48.7794      53.7884    1412.62292      39.6601      76.0638
   1428.23266      49.0013      54.1348    1412.60766      39.8771      76.5387
   1428.21740      49.2839      54.2110    1412.59240      40.0833      76.6910
   1428.20214      49.3835      54.6261    1412.57714      40.2539      77.3991
   1428.18688      49.7175      54.7110    1412.56188      40.4304      77.6416
   1428.17162      50.0644      54.9815    1412.54662      40.6110      78.2240
   1428.15636      50.3099      55.2943    1412.53136      40.8981      78.6909
   1428.14110      50.4427      55.7667    1412.51610      41.1575      79.1925
   1428.12584      50.6634      56.0090    1412.50084      41.2333      79.5905
   1428.11059      50.9436      56.2550    1412.48559      41.3967      80.1276
   1428.09533      51.3662      56.5374    1412.47033      41.6377      80.4670
   1428.08007      51.6138      56.8572    1412.45507      41.8544      80.9578
   1428.06481      51.8600      57.1938    1412.43981      41.9958      81.3951
   1428.04955      51.9972      57.2337    1412.42455      42.3185      81.9806
   1428.03429      52.4446      57.5389    1412.40929      42.5747      82.3021
   1428.01903      52.6156      57.9207    1412.39403      42.8261      82.9807
   1428.00377      52.9014      58.1859    1412.37877      42.8426      82.9441
   1427.98852      53.1626      58.7160    1412.36352      43.1906      83.7013
   1427.97326      53.2338      58.8475    1412.34826      43.2830      83.9858
   1427.95800      53.6623      59.1381    1412.33300      43.7096      84.4957
   1427.94274      53.9745      59.2579    1412.31774      43.6507      85.0394
   1427.92748      54.2040      59.5735    1412.30248      43.9937      85.6104
   1427.91222      54.3358      59.7897    1412.28722      44.2903      85.9914
   1427.89696      54.4362      60.0803    1412.27196      44.3298      86.1725
   1427.88170      55.0033      60.4639    1412.25670      44.5406      86.9488
   1427.86645      55.2770      60.8763    1412.24145      44.8970      87.2906
   1427.85119      55.3548      60.8571    1412.22619      45.0519      87.6334
   1427.83593      55.6476      61.2258    1412.21093      45.3128      88.4610
   1427.82067      55.7421      61.5031    1412.19567      45.2409      88.6997
   1427.80541      55.9402      61.6051    1412.18041      45.5913      89.0580
   1427.79015      56.4860      62.1142    1412.16515      45.7815      89.5721
   1427.77489      56.6650      62.3030    1412.14989      46.0691      89.8445
   1427.75963      56.6755      62.4201    1412.13463      46.3761      90.4875
   1427.74437      57.3348      62.9782    1412.11937      46.4726      90.9874
   1427.72912      57.3404      63.2390    1412.10412      46.7131      91.1152
   1427.71386      57.4981      63.4817    1412.08886      46.8023      91.7843
   1427.69860      57.7574      63.7731    1412.07360      47.2237      92.0638
   1427.68334      57.8205      63.8837    1412.05834      47.1994      92.5763
   1427.66808      58.0817      64.1869    1412.04308      47.5859      93.1830
   1427.65282      58.5031      64.2975    1412.02782      47.7090      93.5524
   1427.63756      58.5367      64.7114    1412.01256      48.0596      94.0089
   1427.62230      58.8063      65.0834    1411.99730      48.2847      94.3493
   1427.60705      59.0677      65.2726    1411.98205      48.4932      94.8406
   1427.59179      59.3056      65.5601    1411.96679      48.5552      95.1396
   1427.57653      59.2980      65.8634    1411.95153      48.6497      95.7733
   1427.56127      59.6477      66.1806    1411.93627      48.9345      95.9679
   1427.54601      59.8396      66.6846    1411.92101      49.3231      96.7334
   1427.53075      60.1837      66.6714    1411.90575      49.4433      96.9492
   1427.51549      60.1944      67.0918    1411.89049      49.5461      97.5790
   1427.50023      60.5862      67.2856    1411.87523      49.9106      97.5961
   1427.48498      60.7779      67.2821    1411.85998      50.0507      97.9912
   1427.46972      60.9006      67.6878    1411.84472      50.2916      98.5574
   1427.45446      61.1480      67.8293    1411.82946      50.4895      98.8391
   1427.43920      61.1179      68.1258    1411.81420      50.8094      99.4833
   1427.42394      61.5206      68.4729    1411.79894      50.9577      99.4920
   1427.40868      61.5193      68.7485    1411.78368      51.2575      99.9847
   1427.39342      61.7613      68.8269    1411.76842      51.4532     100.7051
   1427.37816      62.0115      69.2516    1411.75316      51.5928     101.0192
   1427.36291      62.2223      69.6445    1411.73791      51.9457     100.9590
   1427.34765      62.3653      69.4086    1411.72265      52.0444     101.7034
   1427.33239      62.3804      69.8363    1411.70739      52.2350     102.2909
   1427.31713      62.6655      70.1718    1411.69213      52.4673     102.2239
   1427.30187      62.9303      70.3126    1411.67687      52.5670     102.7393
